,Title,Abstract
10,Climate Analyses to Assess Risks from Invasive Forest Insects: Simple Matching to Advanced Models,"Purpose of Review: The number of invasive alien insects that adversely affect trees and forests continues to increase as do associated ecological, economic, and sociological impacts. Prevention strategies remain the most cost-effective approach to address the issue, but risk management decisions, particularly those affecting international trade, must be supported by scientifically credible pest risk assessments. Pest risk assessments typically include an evaluation of the suitability of the climate for pest establishment within an area of concern. A number of species distribution models have been developed to support those efforts, and these models vary in complexity from simple climate matching to mechanistic models. This review discusses the rationale for species distribution models and describes some common and influential approaches. Recent Findings: Species distribution models that use distributional records and environmental covariates are routinely applied when ecological information about a species of concern is limited, an all-too common situation for pest risk assessors. However, fundamental assumptions of the models may not always hold. Summary: A structured literature review suggests that many common species distribution models are not regularly applied to alien insects that may threaten trees and forests. For ten high-impact alien insect species that are invading North America, MaxEnt and CLIMEX were applied more often than other modeling approaches. Some impediments to model development and publication exist. More applications of species distribution models to forest insects are needed in the peer-reviewed literature to ensure the credibility of pest risk maps for regulatory decision making, to deepen understanding of the factors that dictate species’ distributions, and to better characterize uncertainties associated with these models. © 2017, Springer International Publishing AG (outside the USA)."
11,Beech bark disease in North America: Over a century of research revisited,"American beech (Fagus grandifolia) in the eastern United States and Canada has experienced more than a century of mortality under a steady expansion of disease agents collectively causing beech bark disease (BBD). In North America, BBD consists of insect (e.g., Cryptococcus fagisuga [beech scale] and Xylococculus betulae) and phytopathogenic fungal (Neonectria faginata and N. ditissima) components that can variously interact with host and environment to cause extensive aboveground mortality of beech (i.e., killing front stage). This heavy mortality causes cascading impacts on forest ecosystems, resulting in altered biotic and abiotic conditions in which BBD-inducted mortality persists at reduced levels (i.e., aftermath stage). New evidence suggests that in aftermath conditions, disease agents interact with each other and their environment in ways neither observed nor anticipated from earlier studies of initial disease onset. Previously unrecognized factors such as atmospheric pollution and nutrient imbalances may exacerbate tree susceptibility to this disease. A clearer understanding of BBD-related organisms and their behavior, disease progression and impacts, and interactions between biotic and abiotic factors is needed to support the development of management options aimed at ameliorating economic and ecological consequences of disease-induced forest change. We comprehensively review over a century of literature in order to clarify these aspects in forests newly- and chronically-affected by BBD. Furthermore, we discuss new concerns of a reemergence of heavy mortality in some aftermath forests and present critical knowledge gaps and key considerations to help inform future BBD research and management programs. © 2017 Elsevier B.V."
12,Effects of host variability on the spread of invasive forest diseases,"Biological invasions, resulting from deliberate and unintentional species transfers of insects, fungal and oomycete organisms, are a major consequence of globalization and pose a significant threat to biodiversity. Limiting damage by non-indigenous forest pathogens requires an understanding of their current and potential distributions, factors affecting disease spread, and development of appropriate management measures. In this review, we synthesize innate characteristics of invading organisms (notably mating system, reproduction type, and dispersal mechanisms) and key factors of the host population (namely host diversity, host connectivity, and host susceptibility) that govern spread and impact of invasive forest pathogens at various scales post-introduction and establishment. We examine spread dynamics for well-known invasive forest pathogens, Hymenoscyphus fraxineus (T. Kowalski) Baral, Queloz, Hosoya, comb. nov., causing ash dieback in Europe, and Cryphonectria parasitica, (Murr.) Barr, causing chestnut blight in both North America and Europe, illustrating the importance of host variability (diversity, connectivity, susceptibility) in their invasion success. While alien pathogen entry has proven difficult to control, and new biological introductions are indeed inevitable, elucidating the key processes underlying host variability is crucial for scientists and managers aimed at developing effective strategies to prevent future movement of organisms and preserve intact ecosystems. © 2017 by the authors."
13,The Natural Evolutionary Potential of Tree Populations to Cope with Newly Introduced Pests and Pathogens—Lessons Learned From Forest Health Catastrophes in Recent Decades,"Emerging diseases often originate from host shifts of introduced pests or pathogens. Genetic resistance of the host to such diseases might be limited or absent due to the lack of coevolutionary history. We review six examples of major disease outbreaks on native tree species caused by different introduced pests and pathogens that led to large ecological and economical losses. In all six cases, high tree mortality was observed in natural populations with some surviving individuals exhibiting varying levels of genetic resistance. The abundance and distribution of resistant individuals and the heritability of resistance traits varies substantially among the cases. While chestnut blight wilt combined with ink disease has virtually eliminated mature Castanea dentata trees from North America, other severe emerging diseases, such as the ash dieback, have left many surviving trees and genetic variation in resistance to such diseases has been documented. We argue that the evolutionary potential of tree species to respond to new emerging diseases should not be underestimated. However, the risk of increased levels of inbreeding and loss of genetic diversity caused by low population sizes is a major concern. Maintenance of broad genetic diversity is an important issue in conservation and forestry management. We expect that future research targeting the genetic background of biotic resistance towards emerging diseases and the role of endophytic communities in protecting trees will facilitate the informed and science-based guidance required to manage and maintain forests with high resilience. International cooperation on limiting disease spread and the provision of early invasive pest or pathogen detection systems are essential. © 2016, Springer International Publishing AG."
14,Ecological risks posed by emerald ash borer to riparian forest habitats: A review and problem formulation with management implications,"The exotic, invasive forest insect pest, emerald ash borer (EAB), is rapidly spreading throughout eastern North America and killing almost all ash trees in its path. The loss of ash from forest habitats could trigger a cascade of ecological effects on habitat quality and the biological communities associated with it. Riparian forest habitats serve critical and often unique functions because they can exert a disproportionate influence on the productivity of riparian soils and adjacent aquatic ecosystems, and can provide important residual habitats in human-influenced landscapes. When ash trees are present in riparian forests, the rapid loss of ash from EAB infestations could put those unique riparian forest functions at risk. The first step in assessing risks and predicting outcomes of threats to an ecosystem is to formulate predictions from existing knowledge. We briefly review the literature on riparian forest ecosystem function and the impacts of other insect pest species on riparian structure and functional processes, with an emphasis on the risks to nutrient subsidies from riparian forests to adjacent waters. We then present a problem formulation that predicts impacts of the loss of ash on riparian forests. We provide a theoretical bases for predicting that most adverse ecosystem effects will arise from reductions in high-quality leaf litter inputs as nutrient subsidies to consumer communities and from the large canopy openings as a result of the rapid loss of ash in riparian forests. Management guidelines to address these potential effects are suggested, but we recognize that actual, empirical studies to measure and assess the ecological impacts of EAB-induced loss of ash from riparian forests would greatly improve risk predictions and management responses. © 2015 Published by Elsevier B.V."
15,Theoretical framework for assessment of risks posed to Canadian forests by invasive insect species,"Climate warming is causing increases in severity of outbreaks and range expansion in a number of insect pests and diseases. Under these conditions, forest managers should choose the best silvicultural practices to optimize production of timber and ecosystem services, while reducing pest damage to tolerable levels. However, information on the short and long term impacts of key pests, such as mountain pine beetle (MPB) (Dendroctonus ponderosae Hopkins), especially when they occur outside their historical geographical range, is scarce and our ability to predict, pre-empt and react to problems is, therefore, limited. Here we propose a general framework to evaluate the risk and impacts of important forest insects in new habitats, and to identify information gaps when conducting risk assessments. The framework consists of four main steps. The first step of risk assessment under potential range expansion is to identify the factors that promote pest spread and colonization of new environments (hazard). A second step is to determine the area at risk and the potential economic impacts (exposure). The third step is to establish if the forest in the new habitat is susceptible to colonization and pest range expansion (vulnerability). The fourth and final step is to determine the options for risk communication and mitigation. We also illustrate the scope and application of this response framework to decision makers, using, as an example, the potential spread of MPB from its native habitats in BC and Alberta into the boreal forests of Canada, especially with regard to the forests of Quebec. © 2013 Elsevier B.V."
16,"Hemlock woolly adelgid in the southern Appalachians: Control strategies, ecological impacts, and potential management responses","Hemlock woolly adelgid (Adelges tsugae Annad; or HWA) is a non-native invasive pest that attacks and kills eastern hemlock (Tsuga canadensis (L) Carrière) and Carolina hemlock (Tsuga caroliniana Engelm). Hemlock is a "" foundation species"" due to its strong influence on ecosystem structure and function, especially in riparian areas. HWA management involves the integrated use of multiple approaches including chemical control, biological control, cultural treatments, host resistance, and host gene conservation. Despite extensive control efforts, large areas in the eastern US, but especially in the southern Appalachian region, have experienced extensive hemlock mortality. Most of the short-term impacts of HWA induced mortality on ecosystem structure and function are localized and small; however, long-term impacts such as large pulses of woody debris and changes in species composition that impact structure and function could be significant. Using a decision analysis framework, land managers should begin to strategically implement land management decisions to address observed short-term impacts and plan and manage for projected longer-term impacts. In order to maintain ecosystem services in response to long-term impacts, restoration efforts may require novel approaches, such as the introduction of non-native species, facilitated movement of native species to new habitats (e.g., white pine), and aggressive management of existing species (e.g., Rhododendron) with mechanical removal, fire, or chemicals. © 2012 ."
17,Novel insights into the emergence of pathogens: The case of chestnut blight,"Exotic, invasive pathogens have emerged repeatedly and continue to emerge to threaten the world's forests. Ecosystem structure and function can be permanently changed when keystone tree species such as the American chestnut (Castanea dentata) are eliminated from a whole range by disease. The fungal ascomycete pathogen Cryphonectria parasitica is responsible for causing chestnut blight. Once the pathogen was introduced into the Eastern US, where chestnuts were predominant, chestnuts were all but eliminated. This pathogen is currently causing extensive damage in Europe. A study in this issue of Molecular Ecology sheds new light on the pattern and process of emergence of this devastating plant pathogen (Dutech 2012). The authors used microsatellite markers to investigate the evolutionary history of C. parasitica populations introduced into North America and Europe. To infer sources of migrants and the migration events, the authors included putative source populations endemic to China and Japan, inferred potentially unsampled populations and conducted a multivariate population genetic and complex ABC analysis. Cryphonectria parasitica emerges as an example of an introduced pathogen with limited genotypic diversity and some admixture in the invaded ranges, yet repeated invasions into different areas of Europe and the United States. This work sheds new light on the emergence of C. parasitica providing compelling evidence that this pathogen emerged by repeated migration and occasional admixture. © 2012 Blackwell Publishing Ltd."
18,The last great forest: A review of the status of invasive species in the North American boreal forest,"The boreal forest is the world's largest terrestrial biome, covering all continents in the northern hemisphere. Much research has focused on the effects of forest management and climate change on biodiversity and ecosystem level processes of the boreal forest. However, even though climate change and the increasing rate of resource exploitation are likely to intensify the arrival and establishment of exotic species with the potential to become invasive, the boreal forest continues to be viewed as inhospitable to incoming species and we have little understanding of its invasive species status. We reviewed the literature and compiled information on the current status of invasive species across all taxa present in the North American boreal forest. We found that an increasing number of exotic plants, insects, earthworms, slugs and pathogens are establishing in the boreal forest. Research is scarce and their ecological effects are poorly understood. However, given that some of the reported species represent a major driver of change in many ecosystems globally, we expect that this review will provide direction for invasive species research as well as preventative measures aimed at better understanding and conserving Earth's largest terrestrial biome."
19,"Benefits and harm caused by the introduced generalist tachinid, Compsilura concinnata, in North America","We review North American research on Compsiluraconcinnata (Meigen), a highly generalist tachinid parasitoid that was introduced in 1906 to control two invasive forest insects: gypsy moth and browntail moth. The impact on gypsy moth in natural populations in North America has long thought to be minor, a view confirmed by recent work in Canada and Wisconsin, USA. However, research with experimentally created populations of gypsy moth suggests that it may be more important than previously realized. Studies on browntail moth in both naturally occurring and experimental populations suggest that C. concinnata is probably the main reason browntail moth disappeared from most of its former range in North America. Research on giant silk moths suggests that C. concinnata has become the major source of mortality among several species and may be responsible for the notable decline in their densities that has occurred over the last century. C. concinnata has been touted as a premier example of the generalist natural enemy that should be avoided in classical biological control introductions, yet in the case of browntail moth its effect has been extremely beneficial. © 2012 International Organization for Biological Control (IOBC)."
20,Lessons learned from a decade of sudden oak death in California: Evaluating local management,"Sudden Oak Death has been impacting California's coastal forests for more than a decade. In that time, and in the absence of a centrally organized and coordinated set of mandatory management actions for this disease in California's wildlands and open spaces, many local communities have initiated their own management programs. We present five case studies to explore how local-level management has attempted to control this disease. From these case studies, we glean three lessons: connections count, scale matters, and building capacity is crucial. These lessons may help management, research, and education planning for future pest and disease outbreaks. © 2010 The Author(s)."
21,"White pines, Ribes, and blister rust: Integration and action","Summary: The preceding articles in this series review the history, biology and management of white pine blister rust in North America, Europe and eastern Asia. In this integration, we connect and discuss seven recurring themes important for understanding and managing epidemics of Cronartium ribicola in the white pines (five-needle pines in subgenus Strobus). Information and action priorities for research and management of the pathogen, telial and aecial hosts, and their interactions are listed in a detailed Appendix. Syntheses focused on genetics, plant disease, invasive species or forest management have provided alternative but knowledgeable lessons on the white pine blister rust pathosystem. Two critical issues for the conservation of white pines are to sustain ecosystems affected by blister rust and to maintain genetic diversity for adaptive traits such as disease resistance. Forest genetics includes tree improvement and molecular techniques for research; their application can increase rust resistance by artificial and natural selection. Silviculture augments genetics with methods to deploy and enhance resistance as well as to regenerate and tend white pine stands. Although cultivated or wild Ribes might serve as inoculum sources, silviculture and horticulture can reduce the risk of serious impacts from blister rust using genetics for breeding and epidemiology for hazard assessment and disease control. Climate change threatens to cause major alterations in temperature and precipitation regimes, resulting in maladapted conifers succumbing to various diseases and insect outbreaks. In contrast, many white pine species have broad ecological ranges and are tolerant of harsh environments-traits that permit successful establishment and growth over wide geographic and altitudinal zones. Given appropriate management, white pines could thrive as valuable commercial and ecologically important keystone species. In an uncertain environment, adaptive management provides a learning and participatory approach for sustaining resilient ecosystems. © 2010 Blackwell Verlag GmbH and Crown in the right of Canada."
22,Ecological consequences of an exotic fungal disease in eastern U.S. hardwood forests,"Exotic pests and pathogens can cause extensive mortality of native species resulting in cascading effects within an ecosystem. As ecosystems lose species to exotic enemies, ecosystem function may be disrupted if the ecological roles are not filled by the remaining species. To illustrate this concept, this paper examines the impacts of an exotic fungus (Discula dectructiva) on flowering dogwood (Cornus florida), historically a common understory tree species in eastern U.S. hardwood forests. Recent studies indicate that dogwood plays an important role in the health and ecological integrity of forest ecosystems throughout the eastern U.S. by increasing the availability of calcium in the biota-rich surface horizons of forest soils. However, Discula destructiva causes a disease, dogwood anthracnose, which can rapidly kill dogwood trees. This paper also illustrates how past fire has increased dogwood density and improved tree health in areas infected with anthracnose, suggesting that prescribed fire may offer a tool for land managers to maintain dogwood as a component in eastern U.S. hardwood forests by shifting the ""ideal"" disturbance regime of this previously fire-intolerant species. © 2010 Elsevier B.V. All rights reserved."
23,A review of oak wilt management: A summary of treatment options and their efficacy,"Oak wilt, caused by the invasive fungal pathogen Ceratocystis fagacearum (Bretz) Hunt, is a serious and fatal disease of oaks, Quercus spp., with red oaks (section Lobatae) generally being more susceptible than white oaks (section Quercus). Oak wilt was first recognized in North America in 1944 and has since been confirmed in 24 eastern, midwestern, and southern states. The purpose of this paper is to review relevant literature on the efficacy of oak wilt treatment options. Root disruption, sanitation, and chemical control methods have been used most often to manage the disease. Root disruption has primarily focused on severing root grafts between oaks. Sanitation has focused on removal and proper disposal of potential spore-producing trees. Chemical control has focused on the use of systemic triazole fungicides. Efficacy of treatments can vary significantly, for example from 54% to 100% for root graft barriers. Educational programs can increase prevention efforts, detection, compliance with recommended management methods, and overall efficacy. Our review confirms that management programs should address underground and overland spread and include an educational component."
24,"Responses of insect pests, pathogens, and invasive plant species to climate change in the forests of northeastern North America: What can we predict?","Climate models project that by 2100, the northeastern US and eastern Canada will warm by approximately 3-5 8C, with increased winter precipitation. These changes will affect trees directly and also indirectly through effects on ""nuisance"" species, such as insect pests, pathogens, and invasive plants. We review how basic ecological principles can be used to predict nuisance species' responses to climate change and how this is likely to impact northeastern forests. We then examine in detail the potential responses of two pest species (hemlock woolly adelgid (Adelges tsugae Annand) and forest tent caterpillar (Malacosoma disstria Hubner)), two pathogens (armillaria root rot (Armillaria spp.) and beech bark disease (Cryptococcus fagisuga Lind. + Neonectria spp.)), and two invasive plant species (glossy buckthorn (Frangula alnus Mill.) and oriental bittersweet (Celastrus orbiculatus Thunb.)). Several of these species are likely to have stronger or more widespread effects on forest composition and structure under the projected climate. However, uncertainty pervades our predictions because we lack adequate data on the species and because some species depend on complex, incompletely understood, unstable relationships. While targeted research will increase our confidence in making predictions, some uncertainty will always persist. Therefore, we encourage policies that allow for this uncertainty by considering a wide range of possible scenarios."
25,"Economic impacts of invasive species in forests: Past, present, and future","Biological invasions by nonnative species are a by-product of economic activities, with the vast majority of nonnative species introduced by trade and transport of products and people. Although most introduced species are relatively innocuous, a few species ultimately cause irreversible economic and ecological impacts, such as the chestnut blight that functionally eradicated the American chestnut across eastern North America. Assessments of the economic costs and losses induced by nonnative forest pests are required for policy development and need to adequately account for all of the economic impacts induced by rare, highly damaging pests. To date, countrywide economic evaluations of forest-invasive species have proceeded by multiplying a unit value (price) by a physical quantity (volume of forest products damaged) to arrive at aggregate estimates of economic impacts. This approach is inadequate for policy development because (1) it ignores the dynamic impacts of biological invasions on the evolution of prices, quantities, and market behavior, and (2) it fails to account for the loss in the economic value of nonmarket ecosystem services, such as landscape aesthetics, outdoor recreation, and the knowledge that healthy forest ecosystems exist. A review of the literature leads one to anticipate that the greatest economic impacts of invasive species in forests are due to the loss of nonmarket values. We proposed that new methods for evaluating aggregate economic damages from forest-invasive species need to be developed that quantify market and nonmarket impacts at microscales that are then extended using spatially explicit models to provide aggregate estimates of impacts. Finally, policies that shift the burden of economic impacts from taxpayers and forest landowners onto parties responsible for introducing or spreading invasives, whether through the imposition of tariffs on products suspected of imposing unacceptable risks on native forest ecosystems or by requiring standards on the processing of trade products before they cross international boundaries, may be most effective at reducing their impacts. © 2009 New York Academy of Sciences."
26,"The origin of Ceratocystis fagacearum, the oak wilt fungus","The oak wilt pathogen, Ceratocystis fagacearum, maybe another example of a damaging, exotic species in forest ecosystems in the United States. Though C. fagacearum has received much research attention, the origin of the fungus is unknown. The pathogen may have been endemic at a low incidence until increased disturbances, changes in land use, and forest management created conditions favorable for disease epidemics. The host genus Quercus contains some relatively resistant species native to the United States, further supporting the hypothesis that the pathogen is native in origin. However, there are also many common, highly susceptible Quercus species - a characteristic typical of introduced pathogens. Most convincingly, studies have shown that the known populations of C. fagacearum have experienced a severe genetic bottleneck that can only be explained by a single introduction. The weight of evidence indicates that C. fagacearum is an introduced pathogen, with possible origins in Central or South America, or Mexico. Copyright © 2008 by Annual Reviews. All rights reserved."
27,Invasive forest pest surveillance: Survey development and reliability,"Worldwide, a large number of potential pest species are introduced to locations outside their native ranges; under the best possible prevention scheme, some are likely to establish one or more localized populations. A comprehensive early detection and rapid-response protocol calls for surveillance to determine if a pest has invaded additional locations outside its original area of introduction. In this manuscript, we adapt and spatially extend a two-stage sampling technique to determine the required sample size to substantiate freedom from an invasive pest with a known level of certainty. The technique, derived from methods for sampling livestock herds for disease presence, accounts for the fact that pest activity may be low at a coarse spatial scale (i.e., among forested landscapes) but high at a fine scale (i.e., within a given forested landscape). We illustrate the utility of the approach by generating a national-scale survey based on a risk map for a hypothetical forest pest species threatening the United States. These techniques provide a repeatable, cost-effective, practical framework for developing broad-scale surveys to substantiate freedom from non-native invasive forest pests with known statistical power. © 2008 NRC."
